Description,Simulation,Mean ± Std
xy-ric2,vqe,-7.59240 ± 0.11088
xy-ric2,redundant (noise=7),-7.59240 ± 0.11088
xy-ric2,redundant (noise=21),-7.23219 ± 0.09368
xy-ric2,zne,-7.77251 ± 0.12416
xy-ric2,noiseoff,-7.99421 ± 0.04690
,,
xy-ric3,vqe,-7.59240 ± 0.11088
xy-ric3,redundant (noise=7),-7.59240 ± 0.11088
xy-ric3,redundant (noise=21),-7.23219 ± 0.09368
xy-ric3,redundant (noise=35),-6.89270 ± 0.09296
xy-ric3,zne,-7.78028 ± 0.12515
xy-ric3,noiseoff,-7.99421 ± 0.04690
,,
xy-ric4,vqe,-7.59240 ± 0.11088
xy-ric4,redundant (noise=7),-7.59240 ± 0.11088
xy-ric4,redundant (noise=21),-7.29558 ± 0.10554
xy-ric4,redundant (noise=35),-7.01041 ± 0.10050
xy-ric4,zne,-7.74519 ± 0.11368
xy-ric4,noiseoff,-7.99421 ± 0.04690
,,
xy-ric5,vqe,-7.59240 ± 0.11088
xy-ric5,redundant (noise=7),-7.59240 ± 0.11088
xy-ric5,redundant (noise=21),-7.23219 ± 0.09368
xy-ric5,redundant (noise=35),-6.89270 ± 0.09296
xy-ric5,redundant (noise=49),-6.57264 ± 0.10466
xy-ric5,redundant (noise=63),-6.27084 ± 0.12237
xy-ric5,zne,-7.78070 ± 0.12523
xy-ric5,noiseoff,-7.99421 ± 0.04690
,,
